round,date,match_no,home_slot,away_slot,home_team,away_team,team_source,actual_home_score,actual_away_score,home_resolution_note,away_resolution_note,predicted_home_score,predicted_away_score,predicted_outcome,advancing_team,exact_tree_advancing_team,elo_poisson_advancing_team,eliminated_team,win_method,home_xg,away_xg,elo_diff,score_model,score_model_detail,elo_poisson_predicted_home_score,elo_poisson_predicted_away_score,elo_poisson_predicted_outcome,elo_poisson_model_detail,training_cutoff,training_data_through,training_scope,actual_outcome,outcome_correct,exact_score_correct,within_one_goal_correct,home_goal_error,away_goal_error,scoreline_absolute_error
Round of 32,2026-07-03 18:00:00,88,Australia,Egypt,Australia,Egypt,manual,,,team listed by source,team listed by source,2,1,home_win,Australia,Australia,Australia,Egypt,regulation,1.266,1.493,-53.67,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",1,0,home_win,"Tournament-calibrated Elo/Poisson (depth=3, leaf=4)",2026-06-28,2026-06-27,before_knockout_round,,,,,,,
Round of 32,2026-07-03 22:00:00,86,Argentina,Cape Verde,Argentina,Cape Verde,manual,,,team listed by source,team listed by source,1,0,home_win,Argentina,Argentina,Argentina,Cape Verde,regulation,2.265,0.835,324.53,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",2,0,home_win,"Tournament-calibrated Elo/Poisson (depth=3, leaf=4)",2026-06-28,2026-06-27,before_knockout_round,,,,,,,
Round of 32,2026-07-04 01:30:00,87,Colombia,Ghana,Colombia,Ghana,manual,,,team listed by source,team listed by source,1,0,home_win,Colombia,Colombia,Colombia,Ghana,regulation,1.867,1.012,198.94,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",1,0,home_win,"Tournament-calibrated Elo/Poisson (depth=3, leaf=4)",2026-06-28,2026-06-27,before_knockout_round,,,,,,,
Round of 16,2026-07-04 17:00:00,90,Winner Match 73,Winner Match 75,South Africa,Netherlands,projected,,,winner of match 73,winner of match 75,0,1,away_win,Netherlands,Netherlands,Netherlands,South Africa,regulation,1.054,1.794,-173.01,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",0,1,away_win,"Tournament-calibrated Elo/Poisson (depth=3, leaf=4)",2026-07-04,2026-06-27,before_knockout_round,,,,,,,
Round of 16,2026-07-04 21:00:00,89,Winner Match 74,Winner Match 77,Germany,France,projected,,,winner of match 74,winner of match 77,0,1,away_win,France,France,France,Germany,regulation,1.048,1.805,-176.77,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",0,1,away_win,"Tournament-calibrated Elo/Poisson (depth=3, leaf=4)",2026-07-04,2026-06-27,before_knockout_round,,,,,,,
Round of 16,2026-07-05 20:00:00,91,Winner Match 76,Winner Match 78,Brazil,Ivory Coast,projected,,,winner of match 76,winner of match 78,1,0,home_win,Brazil,Brazil,Brazil,Ivory Coast,regulation,1.815,1.041,180.59,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",1,0,home_win,"Tournament-calibrated Elo/Poisson (depth=3, leaf=4)",2026-07-04,2026-06-27,before_knockout_round,,,,,,,
Round of 16,2026-07-06 00:00:00,92,Winner Match 79,Winner Match 80,Mexico,England,projected,,,winner of match 79,winner of match 80,1,0,home_win,Mexico,Mexico,Mexico,England,regulation,1.335,1.416,-19.09,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",1,0,home_win,"Tournament-calibrated Elo/Poisson (depth=3, leaf=4)",2026-07-04,2026-06-27,before_knockout_round,,,,,,,
Round of 16,2026-07-06 19:00:00,93,Winner Match 83,Winner Match 84,Portugal,Spain,projected,,,winner of match 83,winner of match 84,1,0,home_win,Portugal,Portugal,Portugal,Spain,regulation,1.2,1.575,-88.38,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",1,0,home_win,"Tournament-calibrated Elo/Poisson (depth=3, leaf=4)",2026-07-04,2026-06-27,before_knockout_round,,,,,,,
Round of 16,2026-07-07 00:00:00,94,Winner Match 81,Winner Match 82,United States,Belgium,projected,,,winner of match 81,winner of match 82,2,1,home_win,United States,United States,United States,Belgium,regulation,1.134,1.667,-125.01,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",1,0,home_win,"Tournament-calibrated Elo/Poisson (depth=3, leaf=4)",2026-07-04,2026-06-27,before_knockout_round,,,,,,,
Round of 16,2026-07-07 16:00:00,95,Winner Match 86,Winner Match 88,Argentina,Australia,projected,,,winner of match 86,winner of match 88,1,0,home_win,Argentina,Argentina,Argentina,Australia,regulation,1.975,0.957,235.44,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",1,0,home_win,"Tournament-calibrated Elo/Poisson (depth=3, leaf=4)",2026-07-04,2026-06-27,before_knockout_round,,,,,,,
Round of 16,2026-07-07 20:00:00,96,Winner Match 85,Winner Match 87,Switzerland,Colombia,projected,,,winner of match 85,winner of match 87,2,1,home_win,Switzerland,Switzerland,Switzerland,Colombia,regulation,1.258,1.503,-57.99,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",1,0,home_win,"Tournament-calibrated Elo/Poisson (depth=3, leaf=4)",2026-07-04,2026-06-27,before_knockout_round,,,,,,,
Quarterfinals,2026-07-09 20:00:00,97,Winner Match 89,Winner Match 90,France,Netherlands,projected,,,winner of match 89,winner of match 90,1,0,home_win,France,France,France,Netherlands,regulation,1.538,1.229,72.73,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",1,0,home_win,"Tournament-calibrated Elo/Poisson (depth=3, leaf=4)",2026-07-09,2026-06-27,before_knockout_round,,,,,,,
Quarterfinals,2026-07-10 19:00:00,98,Winner Match 93,Winner Match 94,Portugal,United States,projected,,,winner of match 93,winner of match 94,1,0,home_win,Portugal,Portugal,Portugal,United States,regulation,1.683,1.123,131.56,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",1,0,home_win,"Tournament-calibrated Elo/Poisson (depth=3, leaf=4)",2026-07-09,2026-06-27,before_knockout_round,,,,,,,
Quarterfinals,2026-07-11 21:00:00,99,Winner Match 91,Winner Match 92,Brazil,Mexico,projected,,,winner of match 91,winner of match 92,1,0,home_win,Brazil,Brazil,Brazil,Mexico,regulation,1.541,1.227,73.92,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",1,0,home_win,"Tournament-calibrated Elo/Poisson (depth=3, leaf=4)",2026-07-09,2026-06-27,before_knockout_round,,,,,,,
Quarterfinals,2026-07-12 01:00:00,100,Winner Match 95,Winner Match 96,Argentina,Switzerland,projected,,,winner of match 95,winner of match 96,1,0,home_win,Argentina,Argentina,Argentina,Switzerland,regulation,1.784,1.059,169.43,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",1,0,home_win,"Tournament-calibrated Elo/Poisson (depth=3, leaf=4)",2026-07-09,2026-06-27,before_knockout_round,,,,,,,
Semifinals,2026-07-14 19:00:00,101,Winner Match 97,Winner Match 98,France,Portugal,projected,,,winner of match 97,winner of match 98,1,0,home_win,France,France,France,Portugal,regulation,1.609,1.175,102.28,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",1,0,home_win,"Tournament-calibrated Elo/Poisson (depth=3, leaf=4)",2026-07-14,2026-06-27,before_knockout_round,,,,,,,
Semifinals,2026-07-15 19:00:00,102,Winner Match 99,Winner Match 100,Brazil,Argentina,projected,,,winner of match 99,winner of match 100,1,0,home_win,Brazil,Brazil,Brazil,Argentina,regulation,1.314,1.439,-29.55,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",1,0,home_win,"Tournament-calibrated Elo/Poisson (depth=3, leaf=4)",2026-07-14,2026-06-27,before_knockout_round,,,,,,,
Match for third place,2026-07-18 21:00:00,103,Loser Match 101,Loser Match 102,Portugal,Argentina,projected,,,loser of match 101,loser of match 102,1,0,home_win,Portugal,Portugal,Portugal,Argentina,regulation,1.177,1.607,-101.19,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",1,0,home_win,"Tournament-calibrated Elo/Poisson (depth=3, leaf=4)",2026-07-18,2026-06-27,before_knockout_round,,,,,,,
Final,2026-07-19 19:00:00,104,Winner Match 101,Winner Match 102,France,Brazil,projected,,,winner of match 101,winner of match 102,1,0,home_win,France,France,France,Brazil,regulation,1.441,1.312,30.64,exact_score_tree_walk_forward,"DecisionTreeClassifier(max_depth=5, min_samples_leaf=1)",1,0,home_win,"Tournament-calibrated Elo/Poisson (depth=3, leaf=4)",2026-07-19,2026-06-27,before_knockout_round,,,,,,,
