player,player_url,team,scorito_position,raw_position,group_goals,group_goal_matches,team_completed_group_goals,player_goal_share_uncapped,position_share_cap,player_goal_share,carryover_boost,projected_knockout_matches,path_team_xg,path_adjusted_team_xg,avg_path_ease_xg,avg_path_elo_diff,avg_opponent_goals_against_per_match,avg_opponent_clean_sheet_rate,avg_opponent_defense_factor,path_ease_score,projected_opponent_path,projected_last_round,expected_scorito_points,expected_knockout_goals,top5_scorito_probability,top5_raw_goal_probability,recommended_rank,selection_reason
Lionel Messi,https://en.wikipedia.org/wiki/Lionel_Messi,Argentina,Aanvaller,Forward,3,3,8.0,0.356,0.62,0.356,1.21856449001619,5,9.07,8.619894666666667,1.7239789333333335,172.028,0.6,0.5333333333333333,0.9494666666666667,1.8799375999999999,Cape Verde -> Australia -> Switzerland -> Brazil -> Portugal,Match for third place,144.91411161993742,4.487265032710631,0.59625,0.7854,1,"3 group goals, Aanvaller, 5 projected knockout matches, 8.6 adjusted team xG path"
Vinícius Júnior,https://en.wikipedia.org/wiki/Vin%C3%ADcius_J%C3%BAnior,Brazil,Aanvaller,Forward left winger,3,3,7.0,0.39555555555555555,0.62,0.39555555555555555,1.21856449001619,5,7.598,7.177359333333333,1.4354718666666666,59.84400000000001,0.5333333333333333,0.6,0.9442666666666666,1.4131545333333335,Japan -> Ivory Coast -> Mexico -> Argentina -> France,Final,134.90237618609007,4.151470369045752,0.53515,0.7285,2,"3 group goals, Aanvaller, 5 projected knockout matches, 7.2 adjusted team xG path"
Matheus Cunha,https://en.wikipedia.org/wiki/Matheus_Cunha,Brazil,Aanvaller,Forward attacking midfielder winger,2,2,7.0,0.28444444444444444,0.62,0.28444444444444444,1.640689585643714,5,7.598,7.177359333333333,1.4354718666666666,59.84400000000001,0.5333333333333333,0.6,0.9442666666666666,1.4131545333333335,Japan -> Ivory Coast -> Mexico -> Argentina -> France,Final,119.72887699536784,3.684522832123728,0.45115,0.6745,3,"2 group goals, Aanvaller, 5 projected knockout matches, 7.2 adjusted team xG path"
Nuno Mendes,"https://en.wikipedia.org/wiki/Nuno_Mendes_(footballer,_born_2002)",Portugal,Keeper / Verdediger,Left-back,1,1,6.0,0.14250000000000002,0.18,0.14250000000000002,0.8774340936287486,5,6.721,6.475380666666666,1.2950761333333334,-22.006,0.8,0.5333333333333333,0.9590666666666667,1.1799838,Croatia -> Spain -> United States -> France -> Argentina,Match for third place,106.58747596771224,0.8096450666774848,0.3678,0.02075,4,"1 group goals, Keeper / Verdediger, 5 projected knockout matches, 6.5 adjusted team xG path"
Kylian Mbappé,https://en.wikipedia.org/wiki/Kylian_Mbapp%C3%A9,France,Aanvaller,Forward,2,2,10.0,0.21333333333333335,0.62,0.21333333333333335,1.640689585643714,5,8.433,8.329142,1.6658283999999999,127.774,1.1333333333333333,0.26666666666666666,0.9830666666666665,1.8220727333333333,Sweden -> Germany -> Netherlands -> Portugal -> Brazil,Final,103.36791632494423,3.206845907290117,0.3468,0.55575,5,"2 group goals, Aanvaller, 5 projected knockout matches, 8.3 adjusted team xG path"
