group_goal_bucket,historical_players,avg_knockout_goals,smoothed_avg_knockout_goals,knockout_goal_hit_rate,carryover_boost
1,496,0.16330645161290322,0.16376766473550272,0.12903225806451613,0.8774340936287486
2,81,0.32098765432098764,0.30622459732048773,0.24691358024691357,1.640689585643714
3,7,0.2857142857142857,0.22743755036261082,0.14285714285714285,1.21856449001619
4+,0,0.18664383561643835,0.18664383561643835,0.0,1.0
