match_key,tournament,competition,year,round,stage_type,date,team,player,player_url,goal_text
FIFA World Cup 2010-main-13,FIFA World Cup 2010,FIFA World Cup,2010,Semi-finals,knockout,2010-07-06,Netherlands,Giovanni van Bronckhorst,https://en.wikipedia.org/wiki/Giovanni_van_Bronckhorst,Van Bronckhorst 18'
FIFA World Cup 2010-main-13,FIFA World Cup 2010,FIFA World Cup,2010,Semi-finals,knockout,2010-07-06,Netherlands,Wesley Sneijder,https://en.wikipedia.org/wiki/Wesley_Sneijder,Sneijder 70'
FIFA World Cup 2010-main-13,FIFA World Cup 2010,FIFA World Cup,2010,Semi-finals,knockout,2010-07-06,Netherlands,Arjen Robben,https://en.wikipedia.org/wiki/Arjen_Robben,Robben 73'
FIFA World Cup 2010-main-14,FIFA World Cup 2010,FIFA World Cup,2010,Semi-finals,knockout,2010-07-07,Spain,Carles Puyol,https://en.wikipedia.org/wiki/Carles_Puyol,Puyol 73'
FIFA World Cup 2010-main-15,FIFA World Cup 2010,FIFA World Cup,2010,Match for third place,knockout,2010-07-10,Uruguay,Edinson Cavani,https://en.wikipedia.org/wiki/Edinson_Cavani,Cavani 28'
FIFA World Cup 2010-main-15,FIFA World Cup 2010,FIFA World Cup,2010,Match for third place,knockout,2010-07-10,Uruguay,Diego Forlán,https://en.wikipedia.org/wiki/Diego_Forl%C3%A1n,Forlán 51'
FIFA World Cup 2010-main-15,FIFA World Cup 2010,FIFA World Cup,2010,Match for third place,knockout,2010-07-10,Germany,Thomas Müller,https://en.wikipedia.org/wiki/Thomas_M%C3%BCller,Müller 19'
FIFA World Cup 2010-main-15,FIFA World Cup 2010,FIFA World Cup,2010,Match for third place,knockout,2010-07-10,Germany,Marcell Jansen,https://en.wikipedia.org/wiki/Marcell_Jansen,Jansen 56'
FIFA World Cup 2010-main-15,FIFA World Cup 2010,FIFA World Cup,2010,Match for third place,knockout,2010-07-10,Germany,Sami Khedira,https://en.wikipedia.org/wiki/Sami_Khedira,Khedira 82'
FIFA World Cup 2010-main-16,FIFA World Cup 2010,FIFA World Cup,2010,Final,knockout,2010-07-11,Spain,Andrés Iniesta,https://en.wikipedia.org/wiki/Andr%C3%A9s_Iniesta,Iniesta 116'
