match_key,tournament,competition,year,round,stage_type,date,home_team,away_team,home_score,away_score
FIFA World Cup 2010-group_E-4,FIFA World Cup 2010,FIFA World Cup,2010,Group E,group,2010-06-19,Cameroon,Denmark,1.0,2.0
FIFA World Cup 2010-group_E-5,FIFA World Cup 2010,FIFA World Cup,2010,Group E,group,2010-06-24,Denmark,Japan,1.0,3.0
FIFA World Cup 2010-group_E-6,FIFA World Cup 2010,FIFA World Cup,2010,Group E,group,2010-06-24,Cameroon,Netherlands,1.0,2.0
FIFA World Cup 2010-group_F-1,FIFA World Cup 2010,FIFA World Cup,2010,Group F,group,2010-06-14,Italy,Paraguay,1.0,1.0
FIFA World Cup 2010-group_F-2,FIFA World Cup 2010,FIFA World Cup,2010,Group F,group,2010-06-15,New Zealand,Slovakia,1.0,1.0
FIFA World Cup 2010-group_F-3,FIFA World Cup 2010,FIFA World Cup,2010,Group F,group,2010-06-20,Slovakia,Paraguay,0.0,2.0
FIFA World Cup 2010-group_F-4,FIFA World Cup 2010,FIFA World Cup,2010,Group F,group,2010-06-20,Italy,New Zealand,1.0,1.0
FIFA World Cup 2010-group_F-5,FIFA World Cup 2010,FIFA World Cup,2010,Group F,group,2010-06-24,Slovakia,Italy,3.0,2.0
FIFA World Cup 2010-group_F-6,FIFA World Cup 2010,FIFA World Cup,2010,Group F,group,2010-06-24,Paraguay,New Zealand,0.0,0.0
FIFA World Cup 2010-group_G-1,FIFA World Cup 2010,FIFA World Cup,2010,Group G,group,2010-06-15,Ivory Coast,Portugal,0.0,0.0
FIFA World Cup 2010-group_G-2,FIFA World Cup 2010,FIFA World Cup,2010,Group G,group,2010-06-15,Brazil,North Korea,2.0,1.0
FIFA World Cup 2010-group_G-3,FIFA World Cup 2010,FIFA World Cup,2010,Group G,group,2010-06-20,Brazil,Ivory Coast,3.0,1.0
FIFA World Cup 2010-group_G-4,FIFA World Cup 2010,FIFA World Cup,2010,Group G,group,2010-06-21,Portugal,North Korea,7.0,0.0
FIFA World Cup 2010-group_G-5,FIFA World Cup 2010,FIFA World Cup,2010,Group G,group,2010-06-25,Portugal,Brazil,0.0,0.0
FIFA World Cup 2010-group_G-6,FIFA World Cup 2010,FIFA World Cup,2010,Group G,group,2010-06-25,North Korea,Ivory Coast,0.0,3.0
FIFA World Cup 2010-group_H-1,FIFA World Cup 2010,FIFA World Cup,2010,Group H,group,2010-06-16,Honduras,Chile,0.0,1.0
FIFA World Cup 2010-group_H-2,FIFA World Cup 2010,FIFA World Cup,2010,Group H,group,2010-06-16,Spain,Switzerland,0.0,1.0
FIFA World Cup 2010-group_H-3,FIFA World Cup 2010,FIFA World Cup,2010,Group H,group,2010-06-21,Chile,Switzerland,1.0,0.0
FIFA World Cup 2010-group_H-4,FIFA World Cup 2010,FIFA World Cup,2010,Group H,group,2010-06-21,Spain,Honduras,2.0,0.0
FIFA World Cup 2010-group_H-5,FIFA World Cup 2010,FIFA World Cup,2010,Group H,group,2010-06-25,Chile,Spain,1.0,2.0
FIFA World Cup 2010-group_H-6,FIFA World Cup 2010,FIFA World Cup,2010,Group H,group,2010-06-25,Switzerland,Honduras,0.0,0.0
FIFA World Cup 2014-main-1,FIFA World Cup 2014,FIFA World Cup,2014,Round of 16,knockout,2014-06-28,Brazil,Chile,1.0,1.0
FIFA World Cup 2014-main-2,FIFA World Cup 2014,FIFA World Cup,2014,Round of 16,knockout,2014-06-28,Colombia,Uruguay,2.0,0.0
FIFA World Cup 2014-main-3,FIFA World Cup 2014,FIFA World Cup,2014,Round of 16,knockout,2014-06-29,Netherlands,Mexico,2.0,1.0
FIFA World Cup 2014-main-4,FIFA World Cup 2014,FIFA World Cup,2014,Round of 16,knockout,2014-06-29,Costa Rica,Greece,1.0,1.0
FIFA World Cup 2014-main-5,FIFA World Cup 2014,FIFA World Cup,2014,Round of 16,knockout,2014-06-30,France,Nigeria,2.0,0.0
FIFA World Cup 2014-main-6,FIFA World Cup 2014,FIFA World Cup,2014,Round of 16,knockout,2014-06-30,Germany,Algeria,2.0,1.0
FIFA World Cup 2014-main-7,FIFA World Cup 2014,FIFA World Cup,2014,Round of 16,knockout,2014-07-01,Argentina,Switzerland,1.0,0.0
FIFA World Cup 2014-main-8,FIFA World Cup 2014,FIFA World Cup,2014,Round of 16,knockout,2014-07-01,Belgium,United States,2.0,1.0
FIFA World Cup 2014-main-9,FIFA World Cup 2014,FIFA World Cup,2014,Quarter-finals,knockout,2014-07-04,France,Germany,0.0,1.0
FIFA World Cup 2014-main-10,FIFA World Cup 2014,FIFA World Cup,2014,Quarter-finals,knockout,2014-07-04,Brazil,Colombia,2.0,1.0
FIFA World Cup 2014-main-11,FIFA World Cup 2014,FIFA World Cup,2014,Quarter-finals,knockout,2014-07-05,Argentina,Belgium,1.0,0.0
FIFA World Cup 2014-main-12,FIFA World Cup 2014,FIFA World Cup,2014,Quarter-finals,knockout,2014-07-05,Netherlands,Costa Rica,0.0,0.0
