player,player_url,team,group_goals,group_goal_matches,latest_group_goal_date,team_completed_group_goals,team_completed_group_matches
Mohammad Mohebi,https://en.wikipedia.org/wiki/Mohammad_Mohebi,Iran,1,1,2026-06-15,2.0,2
Mostafa Ziko,https://en.wikipedia.org/wiki/Mostafa_Ziko,Egypt,1,1,2026-06-21,4.0,2
Nadhir Benbouali,https://en.wikipedia.org/wiki/Nadhir_Benbouali,Algeria,1,1,2026-06-22,2.0,2
Nathan Saliba,https://en.wikipedia.org/wiki/Nathan_Saliba,Canada,1,1,2026-06-18,7.0,2
Nathaniel Brown,https://en.wikipedia.org/wiki/Nathaniel_Brown_(footballer),Germany,1,1,2026-06-14,9.0,2
Nestory Irankunda,https://en.wikipedia.org/wiki/Nestory_Irankunda,Australia,1,1,2026-06-13,2.0,2
Nico Schlotterbeck,https://en.wikipedia.org/wiki/Nico_Schlotterbeck,Germany,1,1,2026-06-14,9.0,2
Nizar Al-Rashdan,https://en.wikipedia.org/wiki/Nizar_Al-Rashdan,Jordan,1,1,2026-06-22,2.0,2
Nuno Mendes,"https://en.wikipedia.org/wiki/Nuno_Mendes_(footballer,_born_2002)",Portugal,1,1,2026-06-23,6.0,2
Oh Hyeon-gyu,https://en.wikipedia.org/wiki/Oh_Hyeon-gyu,South Korea,1,1,2026-06-11,2.0,2
Omar Rekik,https://en.wikipedia.org/wiki/Omar_Rekik,Tunisia,1,1,2026-06-14,1.0,2
Ousmane Dembélé,https://en.wikipedia.org/wiki/Ousmane_Demb%C3%A9l%C3%A9,France,1,1,2026-06-22,6.0,2
Petar Musa,https://en.wikipedia.org/wiki/Petar_Musa,Croatia,1,1,2026-06-17,3.0,2
Rafael Leão,https://en.wikipedia.org/wiki/Rafael_Le%C3%A3o,Portugal,1,1,2026-06-23,6.0,2
Ramin Rezaeian,https://en.wikipedia.org/wiki/Ramin_Rezaeian,Iran,1,1,2026-06-15,2.0,2
Raúl Jiménez,https://en.wikipedia.org/wiki/Ra%C3%BAl_Jim%C3%A9nez,Mexico,1,1,2026-06-11,3.0,2
Romano Schmid,https://en.wikipedia.org/wiki/Romano_Schmid,Austria,1,1,2026-06-16,3.0,2
Rubén Vargas,https://en.wikipedia.org/wiki/Rub%C3%A9n_Vargas,Switzerland,1,1,2026-06-18,5.0,2
Teboho Mokoena,"https://en.wikipedia.org/wiki/Teboho_Mokoena_(soccer,_born_1997)",South Africa,1,1,2026-06-18,1.0,2
Trézéguet,https://en.wikipedia.org/wiki/Tr%C3%A9z%C3%A9guet_(Egyptian_footballer),Egypt,1,1,2026-06-21,4.0,2
Viktor Gyökeres,https://en.wikipedia.org/wiki/Viktor_Gy%C3%B6keres,Sweden,1,1,2026-06-14,6.0,2
Vinícius Júnior,https://en.wikipedia.org/wiki/Vin%C3%ADcius_J%C3%BAnior,Brazil,2,2,2026-06-19,4.0,2
Virgil van Dijk,https://en.wikipedia.org/wiki/Virgil_van_Dijk,Netherlands,1,1,2026-06-14,7.0,2
Yasin Ayari,https://en.wikipedia.org/wiki/Yasin_Ayari,Sweden,1,1,2026-06-14,6.0,2
Yoane Wissa,https://en.wikipedia.org/wiki/Yoane_Wissa,DR Congo,1,1,2026-06-17,1.0,2
