tournament,round,date,home_team,away_team,predicted_score,actual_score,predicted_outcome,actual_outcome,exact_correct,toto_correct,scorito_match_points,max_exact_points,home_xg,away_xg,model_home_score,model_away_score,actual_home_score,actual_away_score,model_predicted_score,model_predicted_outcome,model_exact_correct,model_toto_correct,model_scorito_points,odds_source,odds_event_id,odds_date,odds_home_team,odds_away_team,odds_swapped,home_odds,draw_odds,away_odds,bookmakers_count,odds_date_diff_days,has_market_odds,market_home_implied,market_draw_implied,market_away_implied,market_overround,market_home_score,market_away_score,market_favorite_outcome,market_predicted_score,market_predicted_outcome,market_exact_correct,market_toto_correct,market_scorito_points,common_home_score,common_away_score,common_predicted_score,common_predicted_outcome,common_exact_correct,common_toto_correct,common_scorito_points
FIFA World Cup 2010,Semi-finals,2010-07-07,Germany,Spain,1-0,0-1,home_win,away_win,False,False,0,225,1.359,0.976,1,0,0,1,1-0,home_win,False,False,0,oddsportal,355650.0,2010-07-07,Germany,Spain,False,2.81,3.35,2.54,,0.0,True,0.33954644671367407,0.2848135866463952,0.3756399666399307,1.0480801362091383,0,1,away_win,0-1,away_win,True,True,225,1,0,1-0,home_win,False,False,0
FIFA World Cup 2010,Match for third place,2010-07-10,Uruguay,Germany,1-1,2-3,draw,away_win,False,False,0,270,1.042,1.092,1,1,2,3,1-1,draw,False,False,0,oddsportal,361373.0,2010-07-10,Uruguay,Germany,False,3.85,3.6,1.91,,0.0,True,0.24478897808789762,0.261788212677335,0.4934228092347675,1.0610782469421212,0,1,away_win,0-1,away_win,False,True,180,1,0,1-0,home_win,False,False,0
FIFA World Cup 2010,Final,2010-07-11,Netherlands,Spain,1-0,0-1,home_win,away_win,False,False,0,270,1.359,0.976,1,0,0,1,1-0,home_win,False,False,0,oddsportal,361372.0,2010-07-11,Netherlands,Spain,False,3.92,3.38,2.02,,0.0,True,0.2438811813284945,0.28284444698452615,0.47327437168697944,1.046009533932502,0,1,away_win,0-1,away_win,True,True,270,1,0,1-0,home_win,False,False,0
FIFA World Cup 2014,Round of 16,2014-06-28,Brazil,Chile,1-1,1-1,draw,draw,True,True,135,135,1.804,1.204,1,1,1,1,1-1,draw,True,True,135,oddsportal,1994908.0,2014-06-28,Brazil,Chile,False,1.52,4.52,6.35,,0.0,True,0.6346573973341824,0.2134246114929109,0.15191799117290664,1.0366139898558326,1,0,home_win,1-0,home_win,False,False,0,1,0,1-0,home_win,False,False,0
FIFA World Cup 2014,Round of 16,2014-06-28,Colombia,Uruguay,2-0,2-0,home_win,home_win,True,True,135,135,2.337,0.92,2,0,2,0,2-0,home_win,True,True,135,oddsportal,1997347.0,2014-06-28,Colombia,Uruguay,False,2.13,3.37,3.72,,0.0,True,0.4535912381820748,0.2866911980201244,0.25971756379780087,1.035036677420703,1,0,home_win,1-0,home_win,False,True,90,1,0,1-0,home_win,False,True,90
FIFA World Cup 2014,Round of 16,2014-06-29,Netherlands,Mexico,2-1,2-1,home_win,home_win,True,True,135,135,2.087,1.12,2,1,2,1,2-1,home_win,True,True,135,oddsportal,1994909.0,2014-06-29,Netherlands,Mexico,False,2.17,3.3,3.67,,0.0,True,0.4446704533354874,0.29240451022363867,0.262925036440874,1.0363393601505582,1,0,home_win,1-0,home_win,False,True,90,1,0,1-0,home_win,False,True,90
FIFA World Cup 2014,Round of 16,2014-06-29,Costa Rica,Greece,1-0,1-1,home_win,draw,False,False,0,135,1.52,0.587,1,0,1,1,1-0,home_win,False,False,0,oddsportal,1997348.0,2014-06-29,Costa Rica,Greece,False,2.75,3.07,2.87,,0.0,True,0.35039111743862816,0.31386826480658875,0.33574061775478303,1.037801318408294,1,0,home_win,1-0,home_win,False,False,0,1,0,1-0,home_win,False,False,0
FIFA World Cup 2014,Round of 16,2014-06-30,France,Nigeria,2-0,2-0,home_win,home_win,True,True,135,135,2.054,0.804,2,0,2,0,2-0,home_win,True,True,135,oddsportal,2000133.0,2014-06-30,France,Nigeria,False,1.4,4.75,9.07,,0.0,True,0.6900873771634057,0.20339417432184587,0.10651844851474838,1.0350656133166434,1,0,home_win,1-0,home_win,False,True,90,1,0,1-0,home_win,False,True,90
FIFA World Cup 2014,Round of 16,2014-06-30,Germany,Algeria,2-1,2-1,home_win,home_win,True,True,135,135,2.037,1.32,2,1,2,1,2-1,home_win,True,True,135,oddsportal,2001838.0,2014-06-30,Germany,Algeria,False,1.32,5.58,10.0,,0.0,True,0.7306954964015211,0.1728526980734781,0.0964518055250008,1.0367872271098078,1,0,home_win,1-0,home_win,False,True,90,1,0,1-0,home_win,False,True,90
FIFA World Cup 2014,Round of 16,2014-07-01,Argentina,Switzerland,1-1,1-0,draw,home_win,False,False,0,135,1.92,1.637,1,1,1,0,1-1,draw,False,False,0,oddsportal,2000134.0,2014-07-01,Argentina,Switzerland,False,1.58,4.1,6.32,,0.0,True,0.6114839671886652,0.23564504101416855,0.1528709917971663,1.0350416795307193,1,0,home_win,1-0,home_win,True,True,135,1,0,1-0,home_win,True,True,135
