source,event_id,tournament,date,home_team,away_team,home_odds,draw_odds,away_odds,bookmakers_count,source_tournament
oddsportal,2021886,FIFA World Cup 2014,2014-07-13,Germany,Argentina,2.42,3.25,3.28,,FIFA World Cup 2014
oddsportal,2021887,FIFA World Cup 2014,2014-07-12,Brazil,Netherlands,2.14,3.72,3.45,,FIFA World Cup 2014
oddsportal,2016147,FIFA World Cup 2014,2014-07-09,Netherlands,Argentina,3.05,3.23,2.52,,FIFA World Cup 2014
oddsportal,2015899,FIFA World Cup 2014,2014-07-08,Brazil,Germany,2.59,3.2,2.98,,FIFA World Cup 2014
oddsportal,2004192,FIFA World Cup 2014,2014-07-05,Netherlands,Costa Rica,1.52,4.13,7.32,,FIFA World Cup 2014
oddsportal,2009914,FIFA World Cup 2014,2014-07-05,Argentina,Belgium,1.97,3.38,4.31,,FIFA World Cup 2014
oddsportal,2004049,FIFA World Cup 2014,2014-07-04,Brazil,Colombia,1.76,3.85,4.85,,FIFA World Cup 2014
oddsportal,2006184,FIFA World Cup 2014,2014-07-04,France,Germany,2.78,3.13,2.8,,FIFA World Cup 2014
oddsportal,2001839,FIFA World Cup 2014,2014-07-01,Belgium,United States,1.98,3.38,4.23,,FIFA World Cup 2014
oddsportal,2000134,FIFA World Cup 2014,2014-07-01,Argentina,Switzerland,1.58,4.1,6.32,,FIFA World Cup 2014
oddsportal,2001838,FIFA World Cup 2014,2014-06-30,Germany,Algeria,1.32,5.58,10.0,,FIFA World Cup 2014
oddsportal,2000133,FIFA World Cup 2014,2014-06-30,France,Nigeria,1.4,4.75,9.07,,FIFA World Cup 2014
oddsportal,1997348,FIFA World Cup 2014,2014-06-29,Costa Rica,Greece,2.75,3.07,2.87,,FIFA World Cup 2014
oddsportal,1994909,FIFA World Cup 2014,2014-06-29,Netherlands,Mexico,2.17,3.3,3.67,,FIFA World Cup 2014
oddsportal,1997347,FIFA World Cup 2014,2014-06-28,Colombia,Uruguay,2.13,3.37,3.72,,FIFA World Cup 2014
oddsportal,1994908,FIFA World Cup 2014,2014-06-28,Brazil,Chile,1.52,4.52,6.35,,FIFA World Cup 2014
oddsportal,1875686,FIFA World Cup 2014,2014-06-26,Algeria,Russia,3.68,3.7,2.02,,FIFA World Cup 2014
oddsportal,1875685,FIFA World Cup 2014,2014-06-26,South Korea,Belgium,4.62,3.58,1.84,,FIFA World Cup 2014
oddsportal,1875679,FIFA World Cup 2014,2014-06-26,United States,Germany,8.2,3.13,1.67,,FIFA World Cup 2014
oddsportal,1875680,FIFA World Cup 2014,2014-06-26,Portugal,Ghana,1.76,4.87,3.82,,FIFA World Cup 2014
oddsportal,1875670,FIFA World Cup 2014,2014-06-25,Ecuador,France,5.78,4.17,1.6,,FIFA World Cup 2014
oddsportal,1875669,FIFA World Cup 2014,2014-06-25,Honduras,Switzerland,7.32,4.43,1.49,,FIFA World Cup 2014
oddsportal,1875688,FIFA World Cup 2014,2014-06-25,Nigeria,Argentina,9.57,4.24,1.44,,FIFA World Cup 2014
oddsportal,1875687,FIFA World Cup 2014,2014-06-25,Bosnia & Herzegovina,Iran,2.25,3.52,3.25,,FIFA World Cup 2014
oddsportal,1875657,FIFA World Cup 2014,2014-06-24,Japan,Colombia,3.4,3.77,2.09,,FIFA World Cup 2014
oddsportal,1875658,FIFA World Cup 2014,2014-06-24,Greece,Ivory Coast,3.97,3.65,1.96,,FIFA World Cup 2014
oddsportal,1875664,FIFA World Cup 2014,2014-06-24,Costa Rica,England,4.43,4.05,1.77,,FIFA World Cup 2014
oddsportal,1875663,FIFA World Cup 2014,2014-06-24,Italy,Uruguay,2.52,3.55,2.78,,FIFA World Cup 2014
oddsportal,1875645,FIFA World Cup 2014,2014-06-23,Cameroon,Brazil,21.33,9.93,1.13,,FIFA World Cup 2014
oddsportal,1875646,FIFA World Cup 2014,2014-06-23,Croatia,Mexico,2.7,3.53,2.61,,FIFA World Cup 2014
oddsportal,1875651,FIFA World Cup 2014,2014-06-23,Australia,Spain,8.58,5.18,1.37,,FIFA World Cup 2014
oddsportal,1875652,FIFA World Cup 2014,2014-06-23,Netherlands,Chile,2.7,3.52,2.6,,FIFA World Cup 2014
oddsportal,1875678,FIFA World Cup 2014,2014-06-22,United States,Portugal,4.62,4.08,1.75,,FIFA World Cup 2014
oddsportal,1875684,FIFA World Cup 2014,2014-06-22,South Korea,Algeria,2.48,3.32,2.98,,FIFA World Cup 2014
oddsportal,1875683,FIFA World Cup 2014,2014-06-22,Belgium,Russia,2.23,3.33,3.48,,FIFA World Cup 2014
oddsportal,1875674,FIFA World Cup 2014,2014-06-21,Nigeria,Bosnia & Herzegovina,4.35,3.58,1.9,,FIFA World Cup 2014
oddsportal,1875677,FIFA World Cup 2014,2014-06-21,Germany,Ghana,1.35,5.45,9.18,,FIFA World Cup 2014
oddsportal,1875673,FIFA World Cup 2014,2014-06-21,Argentina,Iran,1.14,8.8,21.0,,FIFA World Cup 2014
oddsportal,1875668,FIFA World Cup 2014,2014-06-20,Honduras,Ecuador,5.95,4.12,1.6,,FIFA World Cup 2014
oddsportal,1875667,FIFA World Cup 2014,2014-06-20,Switzerland,France,4.52,3.55,1.88,,FIFA World Cup 2014
oddsportal,1875662,FIFA World Cup 2014,2014-06-20,Italy,Costa Rica,1.58,4.0,6.63,,FIFA World Cup 2014
oddsportal,1875656,FIFA World Cup 2014,2014-06-19,Japan,Greece,2.47,3.33,3.02,,FIFA World Cup 2014
oddsportal,1875661,FIFA World Cup 2014,2014-06-19,Uruguay,England,3.82,3.82,1.95,,FIFA World Cup 2014
oddsportal,1875655,FIFA World Cup 2014,2014-06-19,Colombia,Ivory Coast,2.02,3.55,3.83,,FIFA World Cup 2014
oddsportal,1875644,FIFA World Cup 2014,2014-06-18,Cameroon,Croatia,5.75,3.9,1.66,,FIFA World Cup 2014
oddsportal,1875649,FIFA World Cup 2014,2014-06-18,Spain,Chile,1.58,4.45,5.58,,FIFA World Cup 2014
oddsportal,1875650,FIFA World Cup 2014,2014-06-18,Australia,Netherlands,13.0,6.7,1.24,,FIFA World Cup 2014
oddsportal,1875682,FIFA World Cup 2014,2014-06-17,Russia,South Korea,1.85,3.57,4.63,,FIFA World Cup 2014
oddsportal,1875643,FIFA World Cup 2014,2014-06-17,Brazil,Mexico,1.35,5.25,9.75,,FIFA World Cup 2014
oddsportal,1875681,FIFA World Cup 2014,2014-06-17,Belgium,Algeria,1.34,5.23,10.33,,FIFA World Cup 2014
oddsportal,3315246,FIFA World Cup 2018,2018-07-15,France,Croatia,2.05,2.98,4.63,,FIFA World Cup 2018
oddsportal,3315247,FIFA World Cup 2018,2018-07-14,Belgium,England,2.15,3.75,3.28,,FIFA World Cup 2018
oddsportal,3304709,FIFA World Cup 2018,2018-07-11,Croatia,England,4.01,2.95,2.21,,FIFA World Cup 2018
oddsportal,3304133,FIFA World Cup 2018,2018-07-10,France,Belgium,2.57,3.1,3.02,,FIFA World Cup 2018
oddsportal,3292612,FIFA World Cup 2018,2018-07-07,Russia,Croatia,3.96,3.14,2.12,,FIFA World Cup 2018
oddsportal,3295155,FIFA World Cup 2018,2018-07-07,Sweden,England,5.26,3.32,1.79,,FIFA World Cup 2018
oddsportal,3293858,FIFA World Cup 2018,2018-07-06,Brazil,Belgium,2.05,3.43,3.82,,FIFA World Cup 2018
oddsportal,3292305,FIFA World Cup 2018,2018-07-06,Uruguay,France,4.93,3.07,1.95,,FIFA World Cup 2018
oddsportal,3289198,FIFA World Cup 2018,2018-07-03,Colombia,England,4.13,3.05,2.12,,FIFA World Cup 2018
oddsportal,3286460,FIFA World Cup 2018,2018-07-03,Sweden,Switzerland,3.32,2.92,2.5,,FIFA World Cup 2018
oddsportal,3289197,FIFA World Cup 2018,2018-07-02,Belgium,Japan,1.39,4.7,9.2,,FIFA World Cup 2018
oddsportal,3286459,FIFA World Cup 2018,2018-07-02,Brazil,Mexico,1.47,4.36,7.62,,FIFA World Cup 2018
oddsportal,3285272,FIFA World Cup 2018,2018-07-01,Croatia,Denmark,1.92,3.2,4.8,,FIFA World Cup 2018
oddsportal,3283095,FIFA World Cup 2018,2018-07-01,Spain,Russia,1.54,4.15,6.65,,FIFA World Cup 2018
oddsportal,3283094,FIFA World Cup 2018,2018-06-30,Uruguay,Portugal,3.07,2.93,2.67,,FIFA World Cup 2018
oddsportal,3285271,FIFA World Cup 2018,2018-06-30,France,Argentina,2.4,3.06,3.36,,FIFA World Cup 2018
oddsportal,3118398,FIFA World Cup 2018,2018-06-28,England,Belgium,2.53,2.79,3.49,,FIFA World Cup 2018
oddsportal,3118399,FIFA World Cup 2018,2018-06-28,Panama,Tunisia,4.45,3.75,1.82,,FIFA World Cup 2018
oddsportal,3118405,FIFA World Cup 2018,2018-06-28,Senegal,Colombia,5.37,3.71,1.71,,FIFA World Cup 2018
oddsportal,3118404,FIFA World Cup 2018,2018-06-28,Japan,Poland,2.8,3.09,2.8,,FIFA World Cup 2018
oddsportal,3118386,FIFA World Cup 2018,2018-06-27,Serbia,Brazil,7.79,4.65,1.44,,FIFA World Cup 2018
oddsportal,3118387,FIFA World Cup 2018,2018-06-27,Switzerland,Costa Rica,1.59,3.7,7.5,,FIFA World Cup 2018
oddsportal,3118392,FIFA World Cup 2018,2018-06-27,South Korea,Germany,20.0,8.23,1.16,,FIFA World Cup 2018
oddsportal,3118393,FIFA World Cup 2018,2018-06-27,Mexico,Sweden,2.19,3.38,3.55,,FIFA World Cup 2018
oddsportal,3118380,FIFA World Cup 2018,2018-06-26,Nigeria,Argentina,6.09,5.16,1.48,,FIFA World Cup 2018
