round,date,match_no,home_slot,away_slot,home_team,away_team,home_resolution_note,away_resolution_note,actual_home_score,actual_away_score,predicted_home_score,predicted_away_score,predicted_outcome,expected_total_goals,home_xg,away_xg,home_win_probability,draw_probability,away_win_probability,home_decimal_odds,draw_decimal_odds,away_decimal_odds,rating_diff,advancing_team,eliminated_team,win_method
Round of 16,2026-07-07,95,Winner Match 86,Winner Match 88,Argentina,Egypt,winner of match 86,winner of match 88,,,2,1,home_win,3.017,1.705,1.312,0.4753,0.253,0.2716,2.1,3.95,3.68,131.49,Argentina,Egypt,regulation
Round of 16,2026-07-07,96,Winner Match 85,Winner Match 87,Senegal,Colombia,winner of match 85,winner of match 87,,,1,2,away_win,3.124,1.443,1.681,0.3095,0.2623,0.4282,3.23,3.81,2.34,-76.26,Colombia,Senegal,regulation
Quarterfinals,2026-07-09,97,Winner Match 89,Winner Match 90,Ivory Coast,South Korea,winner of match 89,winner of match 90,,,2,1,home_win,2.922,1.546,1.376,0.4085,0.2729,0.3186,2.45,3.66,3.14,58.42,Ivory Coast,South Korea,regulation
Quarterfinals,2026-07-10,98,Winner Match 93,Winner Match 94,Austria,Australia,winner of match 93,winner of match 94,,,2,1,home_win,2.914,1.484,1.43,0.3732,0.2822,0.3446,2.68,3.54,2.9,18.76,Austria,Australia,regulation
Quarterfinals,2026-07-11,99,Winner Match 91,Winner Match 92,Morocco,England,winner of match 91,winner of match 92,,,2,1,home_win,2.949,1.523,1.426,0.3868,0.2777,0.3355,2.59,3.6,2.98,33.45,Morocco,England,regulation
Quarterfinals,2026-07-11,100,Winner Match 95,Winner Match 96,Argentina,Colombia,winner of match 95,winner of match 96,,,2,1,home_win,3.115,1.691,1.424,0.4368,0.2603,0.3029,2.29,3.84,3.3,86.03,Argentina,Colombia,regulation
Semifinals,2026-07-14,101,Winner Match 97,Winner Match 98,Ivory Coast,Austria,winner of match 97,winner of match 98,,,2,1,home_win,2.932,1.516,1.416,0.3877,0.278,0.3344,2.58,3.6,2.99,34.77,Ivory Coast,Austria,regulation
Semifinals,2026-07-15,102,Winner Match 99,Winner Match 100,Morocco,Argentina,winner of match 99,winner of match 100,,,1,2,away_win,2.869,1.398,1.471,0.3394,0.2821,0.3785,2.95,3.54,2.64,-25.66,Argentina,Morocco,regulation
Match for third place,2026-07-18,103,Loser Match 101,Loser Match 102,Austria,Morocco,loser of match 101,loser of match 102,,,1,2,away_win,3.002,1.42,1.582,0.3223,0.2712,0.4065,3.1,3.69,2.46,-54.57,Morocco,Austria,regulation
Final,2026-07-19,104,Winner Match 101,Winner Match 102,Ivory Coast,Argentina,winner of match 101,winner of match 102,,,1,2,away_win,2.879,1.375,1.504,0.3265,0.2772,0.3962,3.06,3.61,2.52,-45.47,Argentina,Ivory Coast,regulation
