tournament,round,player,player_url,team,opponent,scorito_position,raw_position,position_known,group_goals,group_goal_matches,player_goal_share,carryover_boost,team_xg,expected_round_goals,points_per_goal,expected_round_points,pure_points_rank,differential_score,pick_rank,pick_style,actual_goals,actual_points
UEFA Euro 2020,Semi-finals,Yussuf Poulsen,https://en.wikipedia.org/wiki/Yussuf_Poulsen,Denmark,England,Aanvaller,Forward,True,2,2,0.3657142857142857,1.65,1.05,0.69696,40,27.8784,3,26.484479999999998,3,core_expected_points,0,0.0
UEFA Euro 2020,Semi-finals,Andreas Christensen,https://en.wikipedia.org/wiki/Andreas_Christensen,Denmark,England,Keeper / Verdediger,Centre-back,True,1,1,0.16285714285714287,0.874186550976139,1.05,0.14948590021691976,160,23.917744034707162,4,33.48484164859003,4,core_expected_points,0,0.0
UEFA Euro 2020,Final,Ciro Immobile,https://en.wikipedia.org/wiki/Ciro_Immobile,Italy,England,Aanvaller,Striker,True,2,2,0.28444444444444444,1.65,1.55,0.8002133333333333,48,38.41024,1,36.489728,1,core_expected_points,0,0.0
UEFA Euro 2020,Final,Raheem Sterling,https://en.wikipedia.org/wiki/Raheem_Sterling,England,Italy,Aanvaller,Winger [ 1 ],True,2,2,0.64,1.65,0.467,0.5424672,48,26.038425600000004,2,24.73650432,2,core_expected_points,0,0.0
UEFA Euro 2020,Final,Manuel Locatelli,https://en.wikipedia.org/wiki/Manuel_Locatelli,Italy,England,Middenvelder,Defensive midfielder,True,1,1,0.1488888888888889,0.874186550976139,1.55,0.20174282959749343,96,19.36731164135937,3,22.27240838756327,3,core_expected_points,0,0.0
UEFA Euro 2020,Final,Matteo Pessina,https://en.wikipedia.org/wiki/Matteo_Pessina,Italy,England,Middenvelder,Midfielder,True,1,1,0.1488888888888889,0.874186550976139,1.55,0.20174282959749343,96,19.36731164135937,4,22.27240838756327,4,core_expected_points,0,0.0
UEFA Euro 2024,Round of 16,Răzvan Marin,https://en.wikipedia.org/wiki/R%C4%83zvan_Marin,Romania,Netherlands,Middenvelder,Midfielder,True,2,2,0.38999999999999996,1.5411494252873563,1.382,0.9137135889655171,48,43.85825227034482,1,50.43699011089654,1,core_expected_points,0,0.0
UEFA Euro 2024,Round of 16,Jamal Musiala,https://en.wikipedia.org/wiki/Jamal_Musiala,Germany,Denmark,Middenvelder,Attacking midfielder,True,2,2,0.23399999999999999,1.5411494252873563,1.949,0.7731524391724138,48,37.11131708027587,2,42.678014642317244,2,core_expected_points,1,48.0
UEFA Euro 2024,Round of 16,Dani Carvajal,https://en.wikipedia.org/wiki/Dani_Carvajal,Spain,Georgia,Keeper / Verdediger,Right-back,True,1,1,0.16285714285714287,0.8841891891891892,1.665,0.2397542142857143,96,23.016404571428573,3,32.222966400000004,3,core_expected_points,0,0.0
UEFA Euro 2024,Round of 16,Gernot Trauner,https://en.wikipedia.org/wiki/Gernot_Trauner,Austria,Turkey,Keeper / Verdediger,Centre back,True,1,1,0.14250000000000002,0.8841891891891892,1.815,0.22868448141891895,96,21.95371021621622,4,30.735194302702705,4,core_expected_points,0,0.0
UEFA Euro 2024,Quarter-finals,Jamal Musiala,https://en.wikipedia.org/wiki/Jamal_Musiala,Germany,Spain,Middenvelder,Attacking midfielder,True,2,2,0.23399999999999999,1.5411494252873563,1.582,0.6275665257931035,64,40.16425765075862,1,46.18889629837241,1,core_expected_points,0,0.0
UEFA Euro 2024,Quarter-finals,Cody Gakpo,https://en.wikipedia.org/wiki/Cody_Gakpo,Netherlands,Turkey,Aanvaller,Left winger forward [ 2 ],True,2,2,0.4266666666666667,1.5411494252873563,1.449,1.0480802427586209,32,33.53856776827587,2,31.861639379862073,2,core_expected_points,0,0.0
UEFA Euro 2024,Quarter-finals,Mert Müldür,https://en.wikipedia.org/wiki/Mert_M%C3%BCld%C3%BCr,Turkey,Netherlands,Keeper / Verdediger,Full-back centre-back,True,1,1,0.16285714285714287,0.8841891891891892,1.499,0.21585079111969116,128,27.62890126332047,3,38.680461768648655,3,core_expected_points,0,0.0
UEFA Euro 2024,Quarter-finals,Dani Carvajal,https://en.wikipedia.org/wiki/Dani_Carvajal,Spain,Germany,Keeper / Verdediger,Right-back,True,1,1,0.16285714285714287,0.8841891891891892,1.265,0.18215560424710425,128,23.315917343629344,4,32.64228428108108,4,core_expected_points,0,0.0
UEFA Euro 2024,Semi-finals,Dani Carvajal,https://en.wikipedia.org/wiki/Dani_Carvajal,Spain,France,Keeper / Verdediger,Right-back,True,1,1,0.16285714285714287,0.8841891891891892,1.332,0.19180337142857146,160,30.68853942857143,1,42.9639552,1,core_expected_points,0,0.0
UEFA Euro 2024,Semi-finals,Cody Gakpo,https://en.wikipedia.org/wiki/Cody_Gakpo,Netherlands,England,Aanvaller,Left winger forward [ 2 ],True,2,2,0.4266666666666667,1.5411494252873563,1.015,0.734162488888889,40,29.36649955555556,2,27.89817457777778,2,core_expected_points,0,0.0
UEFA Euro 2024,Semi-finals,Jude Bellingham,https://en.wikipedia.org/wiki/Jude_Bellingham,England,Netherlands,Middenvelder,Midfielder [ 2 ],True,1,1,0.335,0.8841891891891892,1.082,0.3204920554054055,80,25.639364432432437,3,29.4852690972973,3,core_expected_points,0,0.0
UEFA Euro 2024,Semi-finals,Fabián Ruiz,https://en.wikipedia.org/wiki/Fabi%C3%A1n_Ruiz,Spain,France,Middenvelder,Central midfielder,True,1,1,0.19142857142857145,0.8841891891891892,1.332,0.22545308571428574,80,18.03624685714286,4,20.741683885714288,4,core_expected_points,0,0.0
UEFA Euro 2024,Final,Dani Carvajal,https://en.wikipedia.org/wiki/Dani_Carvajal,Spain,England,Keeper / Verdediger,Right-back,True,1,1,0.16285714285714287,0.8841891891891892,1.332,0.19180337142857146,192,36.82624731428572,1,51.55674624000001,1,core_expected_points,0,0.0
UEFA Euro 2024,Final,Fabián Ruiz,https://en.wikipedia.org/wiki/Fabi%C3%A1n_Ruiz,Spain,England,Middenvelder,Central midfielder,True,1,1,0.19142857142857145,0.8841891891891892,1.332,0.22545308571428574,96,21.64349622857143,2,24.890020662857143,2,core_expected_points,0,0.0
UEFA Euro 2024,Final,Jude Bellingham,https://en.wikipedia.org/wiki/Jude_Bellingham,England,Spain,Middenvelder,Midfielder [ 2 ],True,1,1,0.335,0.8841891891891892,0.515,0.1525447398648649,96,14.64429502702703,3,16.84093928108108,3,core_expected_points,0,0.0
UEFA Euro 2024,Final,Ferran Torres,https://en.wikipedia.org/wiki/Ferran_Torres,Spain,England,Aanvaller,Forward winger,True,1,1,0.22285714285714286,0.8841891891891892,1.332,0.2624677714285715,48,12.59845302857143,4,11.968530377142859,4,core_expected_points,0,0.0
