tournament,round,player,player_url,team,opponent,scorito_position,raw_position,position_known,group_goals,group_goal_matches,player_goal_share,carryover_boost,team_xg,expected_round_goals,points_per_goal,expected_round_points,pure_points_rank,differential_score,pick_rank,pick_style,actual_goals,actual_points
FIFA World Cup 2018,Final,Ante Rebić,https://en.wikipedia.org/wiki/Ante_Rebi%C4%87,Croatia,France,Aanvaller,Left winger,True,1,1,0.17333333333333334,0.8755196869650284,1.621,0.2459976848455206,48,11.80788887258499,4,11.217494428955739,4,core_expected_points,0,0.0
FIFA World Cup 2022,Round of 16,Cody Gakpo,https://en.wikipedia.org/wiki/Cody_Gakpo,Netherlands,United States,Aanvaller,Left winger forward [ 2 ],True,3,3,0.5085714285714286,1.3659574468085105,1.282,1.0687063732522795,24,25.648952958054707,1,24.36650531015197,1,core_expected_points,0,0.0
FIFA World Cup 2022,Round of 16,Álvaro Morata,https://en.wikipedia.org/wiki/%C3%81lvaro_Morata,Spain,Morocco,Aanvaller,Forward,True,3,3,0.32363636363636367,1.3659574468085105,1.882,0.9983787945841391,24,23.96109107001934,2,22.763036516518373,2,core_expected_points,0,0.0
FIFA World Cup 2022,Round of 16,Lionel Messi,https://en.wikipedia.org/wiki/Lionel_Messi,Argentina,Australia,Aanvaller,Forward,True,2,2,0.3657142857142857,1.4184397163120568,1.615,0.9215481256332321,24,22.117155015197568,3,21.01129726443769,3,core_expected_points,1,24.0
FIFA World Cup 2022,Round of 16,Romain Saïss,https://en.wikipedia.org/wiki/Romain_Sa%C3%AFss,Morocco,Spain,Keeper / Verdediger,Centre-back defensive midfielder,True,1,1,0.19000000000000003,0.9077681997109971,1.132,0.19524278439384127,96,18.743307301808763,6,26.240630222532268,4,differential_upside,0,0.0
FIFA World Cup 2022,Quarter-finals,Cody Gakpo,https://en.wikipedia.org/wiki/Cody_Gakpo,Netherlands,Argentina,Aanvaller,Left winger forward [ 2 ],True,3,3,0.5085714285714286,1.3659574468085105,1.315,1.0962159756838903,32,35.07891122188449,1,33.32496566079026,1,core_expected_points,0,0.0
FIFA World Cup 2022,Quarter-finals,Romain Saïss,https://en.wikipedia.org/wiki/Romain_Sa%C3%AFss,Morocco,Portugal,Keeper / Verdediger,Centre-back defensive midfielder,True,1,1,0.19000000000000003,0.9077681997109971,1.365,0.23542968259504712,128,30.134999372166032,2,42.188999121032445,2,core_expected_points,0,0.0
FIFA World Cup 2022,Quarter-finals,Marcus Rashford,https://en.wikipedia.org/wiki/Marcus_Rashford,England,France,Aanvaller,Forward,True,2,2,0.23272727272727273,1.4184397163120568,2.115,0.7680000000000002,32,24.576000000000008,3,23.347200000000004,3,core_expected_points,0,0.0
FIFA World Cup 2022,Quarter-finals,Lionel Messi,https://en.wikipedia.org/wiki/Lionel_Messi,Argentina,Netherlands,Aanvaller,Forward,True,2,2,0.3657142857142857,1.4184397163120568,1.149,0.6556401215805472,32,20.98048389057751,4,19.931459696048634,4,core_expected_points,1,32.0
FIFA World Cup 2022,Semi-finals,Romain Saïss,https://en.wikipedia.org/wiki/Romain_Sa%C3%AFss,Morocco,France,Keeper / Verdediger,Centre-back defensive midfielder,True,1,1,0.19000000000000003,0.9077681997109971,1.232,0.21249038018835023,160,33.99846083013604,1,47.59784516219045,1,core_expected_points,0,0.0
FIFA World Cup 2022,Semi-finals,Lionel Messi,https://en.wikipedia.org/wiki/Lionel_Messi,Argentina,Croatia,Aanvaller,Forward,True,2,2,0.3657142857142857,1.4184397163120568,1.182,0.6744705167173252,40,26.978820668693007,2,25.629879635258355,2,core_expected_points,1,40.0
FIFA World Cup 2022,Semi-finals,Kylian Mbappé,https://en.wikipedia.org/wiki/Kylian_Mbapp%C3%A9,France,Morocco,Aanvaller,Forward,True,2,2,0.32,1.4184397163120568,1.332,0.6650553191489362,40,26.60221276595745,3,25.272102127659576,3,core_expected_points,0,0.0
FIFA World Cup 2022,Semi-finals,Lovro Majer,https://en.wikipedia.org/wiki/Lovro_Majer,Croatia,Argentina,Middenvelder,Attacking midfielder,True,1,1,0.22333333333333336,0.9077681997109971,1.132,0.22949590446293622,80,18.359672357034896,4,21.113623210590127,4,core_expected_points,0,0.0
FIFA World Cup 2022,Match for third place,Romain Saïss,https://en.wikipedia.org/wiki/Romain_Sa%C3%AFss,Morocco,Croatia,Keeper / Verdediger,Centre-back defensive midfielder,True,1,1,0.19000000000000003,0.9077681997109971,1.032,0.17799518859933233,192,34.17507621107181,1,47.84510669550053,1,core_expected_points,0,0.0
FIFA World Cup 2022,Match for third place,Lovro Majer,https://en.wikipedia.org/wiki/Lovro_Majer,Croatia,Morocco,Middenvelder,Attacking midfielder,True,1,1,0.22333333333333336,0.9077681997109971,1.032,0.20922241466939062,96,20.0853518082615,2,23.098154579500722,2,core_expected_points,0,0.0
FIFA World Cup 2022,Match for third place,Andrej Kramarić,https://en.wikipedia.org/wiki/Andrej_Kramari%C4%87,Croatia,Morocco,Aanvaller,Forward attacking midfielder,True,1,1,0.26,0.9077681997109971,1.032,0.24357236334645474,48,11.691473440629828,3,11.106899768598335,3,core_expected_points,0,0.0
FIFA World Cup 2022,Match for third place,Hakim Ziyech,https://en.wikipedia.org/wiki/Hakim_Ziyech,Morocco,Croatia,Aanvaller,Right winger attacking midfielder,True,1,1,0.26,0.9077681997109971,1.032,0.24357236334645474,48,11.691473440629828,4,11.106899768598335,4,core_expected_points,0,0.0
FIFA World Cup 2022,Final,Lionel Messi,https://en.wikipedia.org/wiki/Lionel_Messi,Argentina,France,Aanvaller,Forward,True,2,2,0.3657142857142857,1.4184397163120568,1.382,0.7885941236068895,48,37.8525179331307,1,35.95989203647416,1,core_expected_points,1,48.0
FIFA World Cup 2022,Final,Kylian Mbappé,https://en.wikipedia.org/wiki/Kylian_Mbapp%C3%A9,France,Argentina,Aanvaller,Forward,True,2,2,0.32,1.4184397163120568,1.432,0.7149843971631206,48,34.31925106382979,2,32.6032885106383,2,core_expected_points,1,48.0
FIFA World Cup 2022,Final,Alexis Mac Allister,https://en.wikipedia.org/wiki/Alexis_Mac_Allister,Argentina,France,Middenvelder,Midfielder [ 2 ],True,1,1,0.19142857142857145,0.9077681997109971,1.382,0.24015396766868594,96,23.05478089619385,3,26.512998030622928,3,core_expected_points,0,0.0
FIFA World Cup 2022,Final,Enzo Fernández,https://en.wikipedia.org/wiki/Enzo_Fern%C3%A1ndez,Argentina,France,Middenvelder,Midfielder,True,1,1,0.19142857142857145,0.9077681997109971,1.382,0.24015396766868594,96,23.05478089619385,4,26.512998030622928,4,core_expected_points,0,0.0
UEFA Euro 2012,Quarter-finals,Cesc Fàbregas,https://en.wikipedia.org/wiki/Cesc_F%C3%A0bregas,Spain,France,Middenvelder,Central midfielder,True,2,2,0.2925,1.65,1.713,0.9094102875000001,64,58.202258400000005,1,66.93259716,1,core_expected_points,0,0.0
UEFA Euro 2012,Quarter-finals,Petr Jiráček,https://en.wikipedia.org/wiki/Petr_Jir%C3%A1%C4%8Dek,Czech Republic,Portugal,Middenvelder,Midfielder,True,2,2,0.38999999999999996,1.65,1.279,0.9053401499999999,64,57.94176959999999,2,66.63303503999998,2,core_expected_points,0,0.0
UEFA Euro 2012,Quarter-finals,Mario Gómez,https://en.wikipedia.org/wiki/Mario_G%C3%B3mez,Germany,Greece,Aanvaller,Striker,True,2,2,0.3657142857142857,1.65,1.496,0.9930020571428572,32,31.77606582857143,3,30.187262537142857,3,core_expected_points,0,0.0
UEFA Euro 2012,Quarter-finals,Pepe,"https://en.wikipedia.org/wiki/Pepe_(footballer,_born_February_1983)",Portugal,Czech Republic,Keeper / Verdediger,Centre-back Defensive-midfielder,True,1,1,0.16285714285714287,0.8608837970540097,1.663,0.2331543885901333,128,29.84376173953706,5,41.78126643535188,4,differential_upside,0,0.0
UEFA Euro 2012,Semi-finals,Cesc Fàbregas,https://en.wikipedia.org/wiki/Cesc_F%C3%A0bregas,Spain,Portugal,Middenvelder,Central midfielder,True,2,2,0.2925,1.65,1.779,0.9444488624999999,80,75.555909,1,86.88929535,1,core_expected_points,0,0.0
UEFA Euro 2012,Semi-finals,Mario Gómez,https://en.wikipedia.org/wiki/Mario_G%C3%B3mez,Germany,Italy,Aanvaller,Striker,True,2,2,0.3657142857142857,1.65,1.329,0.8821522285714286,40,35.28608914285714,2,33.52178468571429,2,core_expected_points,0,0.0
UEFA Euro 2012,Semi-finals,Jesús Navas,https://en.wikipedia.org/wiki/Jes%C3%BAs_Navas,Spain,Portugal,Keeper / Verdediger,Right-back right winger,True,1,1,0.14250000000000002,0.8608837970540097,1.779,0.21824049918166938,160,34.9184798690671,3,48.885871816693935,3,core_expected_points,0,0.0
UEFA Euro 2012,Semi-finals,Lars Bender,https://en.wikipedia.org/wiki/Lars_Bender,Germany,Italy,Keeper / Verdediger,Right-back defensive midfielder,True,1,1,0.16285714285714287,0.8608837970540097,1.329,0.18632722936637827,160,29.812356698620523,4,41.73729937806873,4,core_expected_points,0,0.0
UEFA Euro 2012,Final,Cesc Fàbregas,https://en.wikipedia.org/wiki/Cesc_F%C3%A0bregas,Spain,Italy,Middenvelder,Central midfielder,True,2,2,0.2925,1.65,1.546,0.8207520749999999,96,78.7921992,1,90.61102908,1,core_expected_points,0,0.0
UEFA Euro 2012,Final,Jesús Navas,https://en.wikipedia.org/wiki/Jes%C3%BAs_Navas,Spain,Italy,Keeper / Verdediger,Right-back right winger,True,1,1,0.14250000000000002,0.8608837970540097,1.546,0.18965700490998363,192,36.41414494271686,2,50.9798029198036,2,core_expected_points,0,0.0
UEFA Euro 2012,Final,David Silva,https://en.wikipedia.org/wiki/David_Silva,Spain,Italy,Middenvelder,Midfielder,True,1,1,0.1675,0.8608837970540097,1.546,0.22293016366612114,96,21.40129571194763,3,24.611490068739773,3,core_expected_points,1,96.0
UEFA Euro 2012,Final,Andrea Pirlo,https://en.wikipedia.org/wiki/Andrea_Pirlo,Italy,Spain,Middenvelder,Midfielder,True,1,1,0.22333333333333336,0.8608837970540097,0.946,0.1818817894162575,96,17.46065178396072,4,20.079749551554826,4,core_expected_points,0,0.0
UEFA Euro 2016,Round of 16,Dimitri Payet,https://en.wikipedia.org/wiki/Dimitri_Payet,France,Republic of Ireland,Middenvelder,Attacking midfielder,True,2,2,0.38999999999999996,1.65,1.512,1.0702692,48,51.3729216,1,59.07885983999999,1,core_expected_points,0,0.0
UEFA Euro 2016,Round of 16,Gareth Bale,https://en.wikipedia.org/wiki/Gareth_Bale,Wales,Northern Ireland,Aanvaller,Right winger forward,True,3,3,0.445,1.319736842105263,1.545,1.088822486842105,24,26.131739684210523,2,24.825152699999997,2,core_expected_points,0,0.0
UEFA Euro 2016,Round of 16,Ivan Perišić,https://en.wikipedia.org/wiki/Ivan_Peri%C5%A1i%C4%87,Croatia,Portugal,Aanvaller,Left winger,True,2,2,0.3657142857142857,1.65,1.562,1.0368109714285716,24,24.88346331428572,3,23.639290148571433,3,core_expected_points,0,0.0
