tournament,topscorer_points,oracle_candidate_points,oracle_overall_points,topscorer_candidate_efficiency,topscorer_overall_efficiency,topscorer_goals,topscorer_scoring_picks,match_points,match_exact_accuracy,match_toto_accuracy,match_count,position_known_rate
FIFA World Cup 2010,176.0,592.0,1592.0,0.2972972972972973,0.11055276381909548,3.0,3.0,630.0,0.0625,0.375,16,1.0
FIFA World Cup 2014,0.0,560.0,1368.0,0.0,0.0,0.0,0.0,945.0,0.3125,0.4375,16,1.0
FIFA World Cup 2018,96.0,416.0,1536.0,0.23076923076923078,0.0625,1.0,1.0,615.0,0.06666666666666667,0.4,15,1.0
FIFA World Cup 2022,192.0,368.0,1560.0,0.5217391304347826,0.12307692307692308,5.0,5.0,840.0,0.0,0.5,16,1.0
UEFA Euro 2012,96.0,248.0,792.0,0.3870967741935484,0.12121212121212122,1.0,1.0,690.0,0.0,0.7142857142857143,7,1.0
UEFA Euro 2016,104.0,512.0,936.0,0.203125,0.1111111111111111,2.0,2.0,645.0,0.06666666666666667,0.4,15,1.0
UEFA Euro 2020,56.0,440.0,1288.0,0.12727272727272726,0.043478260869565216,2.0,2.0,705.0,0.06666666666666667,0.4,15,1.0
UEFA Euro 2024,48.0,304.0,896.0,0.15789473684210525,0.05357142857142857,1.0,1.0,510.0,0.0,0.26666666666666666,15,1.0
